Country,Project,Main_fuel,Other_fuels,Location,Status,Capacity,Began_operations,Owner,Capital,CompanyHQ,Shareholders,Notes,Links,Latitude,Longitude,capacity_old,Fuel_test
Colômbia,Termobonda,Gás natural,Diesel,"Santa Marta, Magdalena",Planejada,90,,Termobonda S.A.,Privado,,,,,11.2595342,-74.1055506,90,Gas
Colômbia,Central Térmica Palermo (CTP),Gás natural,,"Sitionuevo, Magdalena",Planejada,60,,CI Milpa S.A.,Privado,,,,,10.77649,-74.7300575,60,Gas
Colômbia,Termopalenque,Gás natural,,"Santa Rosa, Bolívar",Descartada,130,,Axia SAS,Privado,,,,,10.4457909,-75.3728778,130,Gas
Colômbia,Termotasajero III,Carvão,,"San Cayetano, Norte de Santander",Planejada,180,,Termotasajero Dos S.A.,Privado,,,,,7.8478407,-72.6348944,180,Carbón
Colômbia,Termoopón,Gás natural,,"Cimitarra, Santander",Descartada,,,,,,,,,6.4436785,-74.3840759,,Gas
Colômbia,Termoberrío,Gás natural,,"Cimitarra, Santander",Planejada,700,,Minesa S.A.,Privado,,,,,6.4436785,-74.3840759,700,Gas
Colômbia,Termosantander,Gás natural,,"Cimitarra, Santander",Descartada,,,,,,,,,6.4436785,-74.3840759,,Gas
Colômbia,Termoballenas,Carvão,,"Manaure, La Guajira",Fechada,31,,,,,,,,11.7727779,-72.4589178,31,Carbón
Colômbia,Termocesar,Carvão,,"Tamalameque, Cesar",Descartada,,,,,,,,,8.8617479,-73.8195108,,Carbón
Colômbia,Termochinú,Gás natural,,"Chinú, Córdoba",Fechada,48,,,,,,,https://www.eltiempo.com/archivo/documento/MAM-9070,9.1059641,-75.4190367,48,Gas
Colômbia,Termoamagá,Carvão,,"Amagá, Antioquia",Descartada,44,,Vatia S.A.,Privado,,,,,6.0371129,-75.7110322,44,Carbón
Colômbia,Termosinifaná,Carvão,,"Venecia, Antioquia",Descartada,350,,Carboeléctrica de Sinifaná SAS,Privado,,,,https://www.mininterior.gov.co/sites/default/files/documentos/ConsultaPrevia/CERTIFICACIONES2014/1312.pdf,5.9639623,-75.7441718,350,Carbón
Colômbia,Termocucunubá,Carvão,,"Cucunubá, Cundinamarca",Descartada,80,,J.E. Jaimes Ingenieros S.A.,Privado,,,,https://www.boyacaradio.com/noticia.php?id=10753,5.250513,-73.7690517,80,Carbón
Colômbia,Termoapolo,Carvão,,"Gachancipá, Cundinamarca",Descartada,350,,Consultoría Colombiana S.A.,Privado,,,,http://portal.anla.gov.co/sites/default/files/auto_1789_24042018_ct_1557.pdf,4.9803895,-73.8932172,350,Carbón
Colômbia,Termoterra,Carvão,,"San Cayetano, Norte de Santander",Descartada,180,,Termoterra SAS,Privado,,,,,7.878751,-72.6287374,180,Carbón
Colômbia,Termobijao,Carvão,,"Puerto Libertador, Córdoba",Descartada,340,,IC Power Development Colombia SAS,Privado,,,,,7.8879524,-75.6796992,340,Carbón
Colômbia,Puerto Solo,Gás natural,,"Buenaventura, Valle del Cauca",Descartada,148,,Sociedad Portuaria Energética Multipropósito y Contenedores Puerto Solo Buenaventura S.A.,Privado,,,,,3.8756618,-77.0582218,148,Gas
Colômbia,Termocauca,Carvão,,"Santander de Quilichao, Cauca",Descartada,100,,Termocauca,Privado,,,,,3.0122803,-76.5020432,100,Carbón
Colômbia,Termosuamox,Carvão,,"Sogamoso, Boyacá",Descartada,300,,Acerías Paz del Río S.A.,Privado,,,,,5.7237868,-72.9546002,300,Carbón
Colômbia,Termo San Vicente,Carvão,,"San Vicente de Chucurí, Santander",Descartada,99,,Termo San Vicente S.A.,Privado,,,,,6.8785185,-73.4219877,99,Carbón
Colômbia,Termo Lebrija I,Carvão,,"Lebrija, Santander",Descartada,99,,AG Group SAS,Privado,,,,,7.2336146,-73.4360014,99,Carbón
Colômbia,Cerro Largo,Carvão,,"La Jagua de Ibirico, Cesar",Descartada,150,,Promotora de Energía Eléctrica de Cartagena y Cía S.C.A.,Privado,,,,,9.5619973,-73.3455383,150,Carbón
Colômbia,Termosanfernando,Carvão,,"Amagá, Antioquia",Descartada,165,,Compañía de Generación del Cauca S.A.,Privado,,,,,6.0371129,-75.7110322,165,Carbón
Colômbia,Termoesmeralda,Gás natural,,"Cartagena, Bolívar",Descartada,160,,AES Chivor y Cía S.C.A.,Privado,,,,,10.4001911,-75.5785664,160,Gas
Colômbia,Termocol,Gás natural,,"Santa Marta, Magdalena",Descartada,210,,Grupo Poliobras,Privado,,,,,11.2315232,-74.2174167,210,Gas
Colômbia,Termoandina,Gás natural,,"San Pedro, Sucre",Descartada,98,,Proeléctrica y Cía S.C.A.,Privado,,,,,9.3937234,-75.0727622,98,Gas
Colômbia,Termolibertador,Carvão,,"Puerto Libertador, Córdoba",Descartada,300,,Colinversiones S.A.,Privado,,,,,7.8879524,-75.6796992,300,Carbón
Colômbia,Andino Power,Carvão,,"Cimitarra, Santander",Descartada,150,,Refinería Sebastopol,Privado,,,,,6.4436785,-74.3840759,150,Carbón
Colômbia,Termobolívar,Diesel,,"Santa Rosa, Bolívar",Descartada,204,,Colinversiones S.A.,Privado,,,,,10.4457909,-75.3728778,204,Diesel
